id,machine_id,empty,marka,number
1,85,True,,
2,86,True,,
3,84,True,,
4,83,True,,
5,82,True,,
6,81,False,ЯМЗ-238Д-1,
7,80,True,,
8,79,True,,
9,78,True,,
10,77,False,К661,
11,76,False,ЯМЗ-238 М2-2,
12,75,False,ТМЗ 8481.10,
13,74,False,ТМЗ 8481.10,
14,73,False,ТМЗ 8481.10,
15,72,False,ТМЗ 8481.10,
16,71,False,ЯМЗ-7511.10,
17,70,False,ЯМЗ-7511.10,
18,69,False,ЯМЗ-7511.10,
19,68,False,ЯМЗ-7511.10,
20,67,False,ТМЗ 8481.10,
21,66,False,ТМЗ 8481.10,
22,65,False,ЯМЗ-6503.10,
23,64,False,Д-246.1,
24,63,False,Д-246.1,
25,62,False,ЯМЗ-238,
26,61,False,ЯМЗ-238М2-М,
27,60,True,,
28,59,True,,
29,58,False,ЯМЗ-7514.10,
30,57,True,,
31,56,False,ЯМЗ-238 Б,
32,55,False,ЯМЗ-238Б-14,
33,54,False,ЯМЗ-238Б-14,
34,53,False,ЯМЗ-238Б-14,
35,52,False,ЯМЗ-238Д-1,
36,51,False,ЯМЗ-238,
37,50,False,ЯМЗ-238Б-14,
38,49,False,ЯМЗ-238Б-14,
39,48,False,ЯМЗ-238,
40,47,False,ЯМЗ-238,
41,46,False,KTA50GL,33151777
42,46,False,"6CTA8,3 G2",
43,45,False,CUMMINS 4BTA3.9-C116,
44,44,False,CUMMINS 4BTA3.9-C116,
45,43,False,C6121ZG20a,
46,42,False,C6121ZG20a,
47,41,False,Д-160,
48,40,False,Д-160,
49,39,False,BF6M1013C,820352
50,38,False,BF6M1013C,809737
51,37,True,,
52,36,True,,
53,35,False,QST30G1,
54,34,False,QST30G1,
55,33,False,EC-9,
56,33,False,EC-9,
57,32,False,EC-9,
58,32,False,EC-9,
59,31,False,EC-9,
60,31,False,EC-9,
61,30,False,M11C-330,
62,30,False,M11C-330,
63,29,False,BF6M-1015C,9165748
64,28,False,BF8L513C,9125988
65,27,False,BF8L513C,9146663
66,26,False,BF12L513C,9146272
67,25,False,BF12L513C,9146271
68,24,False,BF8M-1015,М090392
69,23,False,ЯМЗ-238Д-1,
70,22,False,ЯМЗ-238Д-1,
71,21,False,BF12L513C,9154635
72,20,False,BF12L513C,9154634
73,19,False,BF12L513C,9146828
74,18,False,BF12L513C,9146827
75,17,False,BF8M1015CP,91188290
76,17,False,BF6M1013C,11289945
77,16,False,BF8M1015CP,9176551
78,16,False,BF6M1013C,10709476
79,15,False,BF8M1015CP,9176550
80,15,False,BF6M1013C,10709475
81,14,False,BF8M1015CP,9175035
82,14,False,BF6M1013C,10715509
83,13,False,BF8M1015CP,9171871
84,12,False,BF8M1015CP,9171438
85,11,False,BF12L513C,9146130
86,10,False,BF12L513C,9149129
87,9,False,BF12L513C,9148657
88,8,False,BF12L513C,9148656
89,7,False,BF12L513C,9146268
90,7,False,BF12L513C,9146270
91,6,False,BF12L513C,9146267
92,6,False,BF12L513C,9162367
93,5,False,BF12L513C,9110609
94,5,False,BF12L513C,9110610
95,4,False,BF12L513C,9186246
96,4,False,BF12L513C,9186248
97,3,False,BF12L513C,9141813
98,3,False,BF12L513C,9141814
99,2,False,CUMMINS KTA-38-G2A,
100,1,False,Відсутній,
