id,machine_id,empty,marka
1,85,False,ТК18В28СБ1
2,86,True,
3,84,True,
4,83,True,
5,82,True,
6,81,True,
7,80,True,
8,79,True,
9,78,True,
10,77,True,
11,76,True,
12,75,True,
13,74,True,
14,73,False,КЗ68601
15,72,False,КЗ68601
16,71,False,Т.Т.
17,70,True,
18,69,True,
19,68,True,
20,67,False,КЗ68604
21,66,True,
22,65,False,6501118011
23,64,True,
24,63,True,
25,62,True,
26,61,True,
27,60,True,
28,59,False,TKP 90-2
29,58,True,
30,57,True,
31,56,True,
32,55,False,TKP-100
33,54,True,
34,53,True,
35,52,False,TKP-100
36,51,True,
37,50,True,
38,49,True,
39,48,True,
40,47,True,
41,46,True,
42,45,True,
43,44,True,
44,43,True,
45,42,True,
46,41,True,
47,40,True,
48,39,True,
49,38,True,
50,37,True,
51,36,True,
52,35,True,
53,34,True,
54,33,True,
55,32,True,
56,31,True,
57,30,True,
58,29,True,
59,28,False,Ліва К27-2964MNA11.11
60,28,False,Права К27-2964 MNA11.11
61,27,False,Ліва К27-2964MNA11.11
62,27,False,Права К27-2964 MNA11.11
63,26,True,
64,25,True,
65,24,True,
66,23,True,
67,22,False,ТРК-9
68,21,False,Ліва K-28-32700C25.29 №4180178
69,21,False,Права K-28-32700C25.2 №4180183
70,20,False,Ліва K-28-32700C25.29 №4180178
71,20,False,Права K-28-32700C25.2 №4180183
72,19,False,Ліва K-28-32700C25.29 №4180178
73,19,False,Права K-28-32700C25.2 №4180183
74,18,False,Ліва К-28-32700С25.29 №4180178
75,18,False,Права ЕК50460910047 №4180183
76,18,False,EJ504505900035
77,17,False,S300-066W
78,17,False,S300-066W
79,16,True,
80,15,True,
81,14,True,
82,13,True,
83,12,True,
84,11,True,
85,10,True,
86,9,True,
87,8,True,
88,7,True,
89,6,True,
90,5,False,KND
91,4,False,KND GROSSE
92,3,False,K-283270002529
93,3,False,E-850382880027
94,2,False,DONG FANK
95,1,True,
